Primary school,Type,Gender,Location,LAT,LONG,TAG
South View Primary School,Government,Mixed,Chua Chu Kang,1.381666644,103.7462758,SOUTH VIEW PRIMARY SCHOOL
Springdale Primary School,Government,Mixed,Sengkang,1.394670103,103.8899262,SPRINGDALE PRIMARY SCHOOL
St. Andrew's Junior School,Government-aided,Boys,Potong Pasir,1.331402553,103.8651171,SAINT ANDREW'S JUNIOR SCHOOL
St. Anthony's Canossian Primary School,Government-aided,Girls,Bedok,1.334725373,103.9412349,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL
St. Anthony's Primary School,Government-aided,Mixed,Bukit Batok,1.334725373,103.9412349,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL
St. Gabriel's Primary School,Government-aided,Boys,Serangoon,1.349471927,103.862561,SAINT GABRIEL'S PRIMARY SCHOOL
St. Hilda's Primary School,Government-aided,Mixed,Tampines,1.34938565,103.9370071,SAINT HILDA'S PRIMARY SCHOOL
St. Joseph's Institution Junior,Government-aided,Boys,Novena,1.31772861,103.8456119,SAINT JOSEPH'S INSTITUTION JUNIOR
St. Margaret's Primary School,Government-aided,Girls,Rochor,1.324391503,103.8816248,SAINT MARGARET'S PRIMARY SCHOOL
St. Stephen's School,Government-aided,Boys,Bedok,1.318789973,103.9172581,SAINT STEPHEN'S SCHOOL
Stamford Primary School,Government,Mixed,Central,1.303456385,103.8574535,STAMFORD PRIMARY SCHOOL
Tampines North Primary School,Government,Mixed,Tampines,1.360476415,103.9487258,TAMPINES NORTH PRIMARY SCHOOL
Tampines Primary School,Government,Mixed,Tampines,1.349778708,103.9440047,TAMPINES PRIMARY SCHOOL
Tanjong Katong Primary School,Government,Mixed,Marine Parade,1.305240843,103.9000927,TANJONG KATONG PRIMARY SCHOOL
Tao Nan School,"Government-aided,?SAP",Mixed,Marine Parade,1.305285287,103.9115532,TAO NAN SCHOOL
Teck Ghee Primary School,Government,Mixed,Ang Mo Kio,1.365587821,103.8509571,TECK GHEE PRIMARY SCHOOL
Teck Whye Primary School,Government,Mixed,Chua Chu Kang,1.383649968,103.7532919,TECK WHYE PRIMARY SCHOOL
Telok Kurau Primary School,Government,Mixed,Bedok,1.331045854,103.910934,TELOK KURAU PRIMARY SCHOOL
Temasek Primary School,Government,Mixed,Bedok,1.317706776,103.9455907,TEMASEK PRIMARY SCHOOL
Townsville Primary School,Government,Mixed,Ang Mo Kio,1.360032637,103.853826,TOWNSVILLE PRIMARY SCHOOL
Unity Primary School,Government,Mixed,Chua Chu Kang,1.402854819,103.7468226,UNITY PRIMARY SCHOOL
Valour Primary School,Government,Mixed,Punggol,1.406835702,103.8990781,VALOUR PRIMARY SCHOOL
Waterway Primary School,Government,Mixed,Punggol,1.398828006,103.9186216,WATERWAY PRIMARY SCHOOL
Wellington Primary School,Government,Mixed,Sembawang,1.451920192,103.8223037,WELLINGTON PRIMARY SCHOOL
West Grove Primary School,Government,Mixed,Jurong West,1.344879056,103.6992864,WEST GROVE PRIMARY SCHOOL
West Spring Primary School,Government,Mixed,Bukit Panjang,1.389441459,103.7661957,WEST SPRING PRIMARY SCHOOL
West View Primary School,Government,Mixed,Bukit Panjang,1.38367582,103.7602404,WEST VIEW PRIMARY SCHOOL
Westwood Primary School,Government,Mixed,Jurong West,1.347184566,103.7005342,WESTWOOD PRIMARY SCHOOL
White Sands Primary School,Government,Mixed,Pasir Ris,1.365557147,103.9609189,WHITE SANDS PRIMARY SCHOOL
Woodgrove Primary School,Government,Mixed,Woodlands,1.433103402,103.7906044,WOODGROVE PRIMARY SCHOOL
Woodlands Primary School,Government,Mixed,Woodlands,1.436551086,103.7915705,WOODLANDS PRIMARY SCHOOL
Woodlands Ring Primary School,Government,Mixed,Woodlands,1.434952293,103.7974357,WOODLANDS RING PRIMARY SCHOOL
Xinghua Primary School,Government,Mixed,Hougang,1.357908936,103.8904729,XINGHUA PRIMARY SCHOOL
Xingnan Primary School,Government,Mixed,Jurong West,1.342547449,103.6879503,XINGNAN PRIMARY SCHOOL
Xinmin Primary School,Government,Mixed,Hougang,1.371395489,103.8830808,XINMIN PRIMARY SCHOOL
Xishan Primary School,Government,Mixed,Yishun,1.433471869,103.8377553,XISHAN PRIMARY SCHOOL
Yangzheng Primary School,Government,Mixed,Serangoon,1.348645758,103.8685955,YANGZHENG PRIMARY SCHOOL
Yew Tee Primary School,Government,Mixed,Chua Chu Kang,1.396766009,103.750986,YEW TEE PRIMARY SCHOOL
Yio Chu Kang Primary School,Government,Mixed,Hougang,1.377932643,103.8856437,YIO CHU KANG PRIMARY SCHOOL
Yishun Primary School,Government,Mixed,Yishun,1.43338603,103.8340871,YISHUN PRIMARY SCHOOL
Yu Neng Primary School,Government,Mixed,Bedok,1.333889303,103.9321449,YU NENG PRIMARY SCHOOL
Yuhua Primary School,Government,Mixed,Jurong East,1.342802305,103.7411058,YUHUA PRIMARY SCHOOL
Yumin Primary School,Government,Mixed,Tampines,1.351291777,103.9504619,YUMIN PRIMARY SCHOOL
Zhangde Primary School,Government,Mixed,Bukit Merah,1.284211533,103.8259519,ZHANGDE PRIMARY SCHOOL
Zhenghua Primary School,Government,Mixed,Bukit Panjang,1.379548875,103.7693135,ZHENGHUA PRIMARY SCHOOL
Zhonghua Primary School,Government,Mixed,Serangoon,1.360203297,103.8697624,ZHONGHUA PRIMARY SCHOOL
