,STN_NAM_DE,LAT,LONG
166,DOWNTOWN MRT STATION,1.279446382,103.8528408
167,GEYLANG BAHRU MRT STATION,1.321301102,103.8716226
168,BENDEMEER MRT STATION,1.313672528,103.8629776
169,BENCOOLEN MRT STATION,1.298918434,103.8503538
170,FORT CANNING MRT STATION,1.292481948,103.8443314
171,KAKI BUKIT MRT STATION,1.33496736,103.9084593
172,TAMPINES MRT STATION,1.345515306,103.938437
173,JALAN BESAR MRT STATION,1.305171388,103.8552957
174,MATTAR MRT STATION,1.326876715,103.8832475
175,MACPHERSON MRT STATION,1.326839632,103.8900079
176,BAYFRONT MRT STATION,1.281873789,103.8590798
177,DHOBY GHAUT MRT STATION,1.298650438,103.8461561
178,FARRER ROAD MRT STATION,1.317439152,103.8073792
179,JURONG EAST MRT STATION,1.333295066,103.7421539
180,BEDOK NORTH MRT STATION,1.334742117,103.9179783
181,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322346
182,ORCHARD MRT STATION,1.302422248,103.8238685
183,BUKIT BROWN MRT STATION,1.333728883,103.8306895
184,LENTOR MRT STATION,1.38550658,103.8357438
185,BRIGHT HILL MRT STATION,1.363846766,103.8338992
186,SPRINGLEAF MRT STATION,1.397581061,103.8178569
187,MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475
188,MACPHERSON MRT STATION,1.326839632,103.8900079
189,CANBERRA MRT STATION,1.443076641,103.8297026
190,WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299
191,WOODLANDS NORTH MRT STATION,1.447782173,103.7851355
192,GUL CIRCLE MRT STATION,1.319470901,103.6605305
195,WOODLANDS MRT STATION,1.436057617,103.7879388
197,MARINA BAY MRT STATION,1.276311144,103.854605
198,OUTRAM PARK MRT STATION,1.280241533,103.8400521
199,HAVELOCK MRT STATION,1.28850524,103.8335858
200,STEVENS MRT STATION,1.320065558,103.8260244
201,NAPIER MRT STATION,1.306782234,103.8189568
202,MOUNT PLEASANT MRT STATION,1.328564555,103.8351886
203,SHENTON WAY MRT STATION,1.277716828,103.8503676
204,MARINA SOUTH MRT STATION,1.271027036,103.8624475
205,GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547
206,GREAT WORLD MRT STATION,1.293316457,103.8339066
207,MAXWELL MRT STATION,1.280533298,103.8438837
208,MARINA BAY MRT STATION,1.276311144,103.854605
209,ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504
210,ORCHARD MRT STATION,1.302422248,103.8238685
211,TELOK BLANGAH MRT STATION,1.270706477,103.8097616
212,TECK WHYE LRT STATION,1.376684679,103.7537122
213,TECK LEE LRT STATION,1.412770894,103.9065776
214,TANJONG PAGAR MRT STATION,1.27660354,103.8459617
215,TANAH MERAH MRT STATION,1.327187291,103.9463486
216,TAN KAH KEE MRT STATION,1.326392241,103.8065482
217,UPPER THOMSON MRT STATION,1.354416434,103.8328985
218,CALDECOTT MRT STATION,1.337347223,103.8395441
219,MAYFLOWER MRT STATION,1.371463188,103.8365678
